id	name	city	state	country	industry	profile	created	description	linkedin_url	phone_number	email	year_founded	logo_name
1	NACB	San Francisco	CA	United States	Networking	{"needs": [ "Health Benefits",  "Supply Chain Management", "Investment and Financing" ]}	1710004784	National Association of Cannabis Businesses					nacb_royal_blue_option2.png
18	Element Apothec	Los Angeles	CA	United States	Retail	{"needs": ["Community Activation", "Community Vision", "Engagement Strategy", "Community Outreach", "Market Plan", "Communication Plan", "Knowledge Sharing", "Collaboration Tools", "Communication Strategy", "Target Audience Research", "Event Strategy", "Influencer Engagement", "Partner Engagement", "Sponsored Content", "Partnership Facilitation", "Content Promotion", "Fundraising", "Business intelligence", "Industry Analysis Service", "Market Segmentation Service", "Competitor Analysis Service", "Trends Forecasting Service", "Supply Chain Analysis Service", "Customer Behavior Analysis Service", "User Acquisition", "Audience Analysis Service", "Branding Strategy Service", "Marketing Strategy Service", "Advocacy", "Lobbying Strategy", "Coalition Building", "Media Strategy", "Business Support", "Strategy Audit", "Market Expansion Strategy", "Partnership Assessment Criteria", "Innovation Strategy"]}	1714143150	Retail Health and Personal Care Products					element_apothec.png
19	iFreshly	Austin	TX	United States	Marketing	{"needs": ["Business Support", "Strategy Audit", "Market Expansion Strategy", "Networking Strategy", "Partnership Assessment Criteria", "Customer Relationship Management System", "User Acquisition", "Audience Analysis Service", "Service Testing Service", "Online Presence Building Service", "Pricing Analysis Service", "Economic Modeling Service", "Marketing Strategy", "Lead Generation Service", "Campaign Management Service", "Business Intelligence", "Industry Analysis Service", "Policy Analysis Service", "Technology Assessment Service", "Market Segmentation Service", "Competitor Analysis Service", "Trends Forecasting Service", "Customer Behavior Analysis Service"]}	1714143150	Fractional CMO services, mainly servicing cannabis companies.					united_core_alliance.png
20	Rooted Intellect	Westminster	CO	United States	E-Commerce	{"needs": ["Business Support", "Strategy Audit", "Market Expansion Strategy", "Networking Strategy", "Partnership Assessment Criteria", "Customer Relationship Management System", "User Acquisition", "Audience Analysis Service", "Service Testing Service", "Branding Strategy Service", "Online Presence Building Service", "Pricing Analysis", "Economic Modeling Service", "Marketing Strategy", "Lead Generation", "Campaign Management Service", "Business Intelligence", "Industry Analysis Service", "Technology Assessment Service", "Market Segmentation Service", "Competitor Analysis Service", "Trends Forecasting Service", "Customer Behavior Analysis Service"]}	1714143150	Revolutionizing Your Grow Experience					off_the_charts.png
21	GreenSpace Pro	Denver	CO	United States	DMS	{"needs": ["Communication Strategy", "Target Audience Research", "Infuencer and Partner Engagement", "Performance Measurement and Analysis", "Sponsored Content", "Partnership Facilitation", "Multimedia Content Creation", "Content Promotion", "Content Creation Service", "Business Support", "Strategy Audit", "Market Expansion Strategy", "Change Management Strategy", "Partnership Assessment Criteria", "Customer Relationship Management System", "Innovation Strategy", "User Acquisition", "Audience Analysis Service", "Service Testing Service", "Branding Strategy Service", "Online Presence Building Service", "Lead Generation", "Campaign Management Service", "Business intelligence", "Industry Analysis Service", "Policy Analysis Service", "Technology Assessment Service", "Market Segmentation Service", "Competitor Analysis Service", "Trends Forecasting Service", "Customer Behavior Analysis Service"]}	1714143150	The Document + Data Management Tool For Growing Businesses					green_space_pro.png
22	420 CPAs	Los Angeles	CA	United States	Accounting	{"needs": ["Communication Strategy", "Expertise Identification Workshops", "Event, Panel, and Conference Strategy", "Influencer and Partner Engagement", "Sponsored Content", "Partnership Facilitation", "Multimedia Content Creation", "Content Creation Services", "Business Support", "Strategy Audit and Recommendations", "Market Expansion Strategy", "Networking Strategy", "Hiring and Talent Development Strategy", "Partnership Assessment Criteria", "Customer Relationship Management System"]}	1714143150	CPA and fractional CFO services for the cannabis industry.					420_cpa.png
23	Hoodie Analytics	Aliso Viejo	CA	United States	Business Analytics	{"needs": ["Communications Strategy", "Expertise Identification Workshops", "Target Audience Research", "Performance Measurement and Analysis", "Sponsored Content", "Partnership Facilitation", "Multimedia Content Creation", "Content Promotion", "Content Creation Services", "User Acquisition", "Audience Analysis Service", "Branding Strategy Service", "Online Presence Building Service", "Pricing Analysis", "Economic Modeling Service", "Marketing Strategy", "Lead Generation", "Campaign Management Service", "Business Intelligence", "Industry Analysis Service", "Technology Assessment Service", "Market Segmentation Service", "Competitor Analysis Service", "Trends Forecasting Service", "Supply Chain Analysis Service", "Customer Behavior Analysis Service"]}	1714143150	Real-time Cannabis Product Assortment & Pricing Intelligence.					hoodie_analytics.png
24	Off the Charts	N/A	CA	United States	Retail	{"needs": ["Community Activation", "Community Outreach and Marketing Planning", "Communication Plan Creation", "Leveraging Technology and Tools", "Community Sustainability and Growth Planning", "Communication Strategy", "Target Audience Research", "Content Promotion", "Audience Feedback Integration", "Business Support", "Market Expansion Strategy", "Partnership Assessment Criteria", "Innovation Strategy", "Process Mapping and Optimization", "User Acquisition", "Marketing Strategy", "Monitoring and Optimization Service", "Expansion and Scaling Consultation Service", "Advocacy", "Coalition Building", "Regulatory Engagement Plan", "Development of Impact Reports and Case Studies"]}	1714143150	Cannabis Dispensaries offering the best shopping experience.					nabcl.png
25	The Greenbelt Group	Los Angeles	CA	United States	Consultancy	{"needs": ["Communication Strategy", "Target Audience Research", "Influencer and Partner Engagement", "Performance Measurement and Analysis", "Content Promotion", "Content Creation Services", "Business Support", "Strategy Audit", "Market Expansion Strategy", "Customer Relationship Management System", "User Acquisition", "Audience Analysis Service", "Branding Strategy Service", "Online Presence Building Service", "Pricing Analysis", "Economic Modeling Service", "Marketing Strategy", "Lead Generation and Campaign Management Service", "Business Intelligence", "Industry Analysis Service", "Technology Assessment Service", "Market Segmentation Service", "Competitor Analysis Service", "Trends Forecasting Service", "Supply Chain Analysis Service", "Customer Behavior Analysis Service"]}	1714143150	Boutique Consulting Group dedicated to help cannabis Operators					the_greenbelt_group.png
26	Clique MJ	N/A	CA	United States	E-Commerce	{"needs": ["Fundraising", "Grant Applications", "Donor Funding", "Sponsor Funding", "User Acquisition", "Audience Analysis Service", "Service Testing Service", "Online Presence Building Service", "Pricing Analysis", "Economic Modeling Service", "Marketing Strategy", "Lead Generation and Campaign Management Service", "Business intelligence", "Industry Analysis Service", "Technology Assessment Service", "Trends Forecasting Service", "Supply Chain Analysis Service", "Customer Behavior Analysis Service"]}	1714143150	AI Powered Rewards Program for Brands					clique_mj.png
