id	title	 description	content_type	organisation_id	url	creator_id	created	publication_date
1	Justice Department Researcher Questions 0.3% THC Limit For Hemp, Saying Federal Law Based On 1950s Anecdote	The 0.3 percent THC threshold in the federal definition of hemp, aimed at preventing intoxication, lacks clear scientific basis according to a Justice Department researcher. A study found most hemp products exceed this limit, but they contain such minimal THC that getting high would require smoking an unfeasibly large joint. Legislative efforts are underway to amend hemp regulations, including proposals to raise the THC limit and address regulatory barriers for CBD products. Despite regulatory challenges, the hemp market remains robust, outpacing state marijuana markets and rivaling craft beer sales nationally in 2022.	article		https://www.marijuanamoment.net/justice-department-researcher-questions-0-3-thc-limit-for-hemp-saying-federal-law-based-on-1950s-anecdote/	1	1714286073	
2	Cannabis operator Canopy raising $35 million in upsized private placement	Canadian cannabis company Canopy Growth Corp. is raising $35 million through subscription agreements with institutional investors, following the termination of a previous funding deal. The new financing, an upsizing from the initial $30 million, offers 8.1 million units at $4.29 each, with terms mirroring the previous agreement. Each unit comprises either one share and a warrant exercisable at $4.83 immediately or after six months. Canopy aims to bolster its financial position with the funds, potentially using them to pay debts or for working capital. The private placement is slated to close on January 19, adding to Canopy's previous private placement in September. Canopy Growth trades as WEED on the Toronto Stock Exchange and CGC on the Nasdaq.	article		https://mjbizdaily.com/cannabis-operator-canopy-raises-35-million-in-upsized-private-placement/?utm_campaign=MJBizDaily&utm_medium=email&_hsmi=290652209&_hsenc=p2ANqtz-8e66i-OekIoVzFHN4ORmS7MRfsgMsjNPNM_etz_BkZ7Z_Aa0k_SxLU6ArwQdmbe_b0MKhid5pDjx7heOGDUW0SIdEiBg&utm_content=290653690&utm_source=hs_email	1	1714286073	
3	Global Cannabis Legalization: A Comprehensive Guide to Weed Laws	This article provides an overview of the evolving landscape of cannabis legalization globally, focusing on updates in 2023 and highlighting developments in the United States. It discusses the Czech Republic's plans for legalization through decriminalization, the expansion of recreational use across two dozen U.S. states, and a bill introduced in the House of Delegates to legalize marijuana production and sales. Additionally, it mentions President Biden's pardon of certain marijuana-related crimes, limited availability of retail dispensaries in Virginia despite legalization, Ohio's recent legalization through a voter-approved ballot initiative, and the legalization of marijuana in New York for individuals aged 21 and older. The article also features an image depicting people enjoying recreational cannabis use outdoors, reflecting the increasing acceptance of such activities.	article		https://thecannabiswatcher.com/pages/articles/learn/1/19/global-cannabis-legalization-comprehensive-guide-weed-laws	1	1714286073	
4	Top Biden Health Official In Touch With DEA About Marijuana Rescheduling Recommendation	The U.S. Department of Health and Human Services (HHS) has communicated its recommendation to the Drug Enforcement Administration (DEA) to reschedule marijuana from Schedule I to Schedule III under the Controlled Substances Act, confirming this move for the first time and offering additional information to aid in the decision-making process. While the status of DEA's review remains uncertain, lawmakers have expressed support for the HHS recommendation, anticipating progress towards legalization. Despite DEA's assertion of final authority over scheduling decisions, pressure from various stakeholders—including lawmakers, attorneys general, former federal officials, and advocates—continues to influence the debate over cannabis policy reform. Additionally, DEA's recent actions regarding psychedelics and THC further highlight ongoing regulatory challenges and controversies surrounding drug scheduling and legalization efforts.	article		https://www.marijuanamoment.net/top-biden-health-official-in-touch-with-dea-about-marijuana-rescheduling-recommendation/	1	1714286073	
5	Regulated marijuana offers new chance at equity: Q&A with social justice leader Martin Luther King III	Martin Luther King III, co-founder of the Drum Major Institute, discussed the intersection of social justice and the cannabis industry at MJBizCon 2023. He emphasized the importance of addressing issues like poverty, racism, and violence through values of peace and equity. King sees opportunities for organized labor to protect workers' rights in the cannabis industry and stressed the need to expunge records of those convicted for nonviolent drug offenses. He encouraged resilience and mentoring for new business owners, urging them to "dare to dream" and break free from societal constraints to achieve their goals.	article		https://mjbizdaily.com/marijuana-social-equity-martin-luther-king-iii-black-history-month/	1	1714286073	
7	Pennsylvania Senator Looks To Exempt Medical Marijuana Patients From Uniform Firearms Act	In Pennsylvania, where both medical marijuana treatment and gun ownership are valued, Republican Senator Dan Laughlin is proposing a bill to exempt medical marijuana patients from the Uniform Firearms Act, aiming to provide clarity amidst conflicting state and federal laws. Recognizing the need to align state law with the medical marijuana program, Laughlin's initiative could redefine who qualifies as an 'unlawful user' of marijuana, safeguarding the rights of valid medical marijuana cardholders. The proposed legislation reflects a compassionate and practical approach to modernizing cannabis laws, potentially setting a significant precedent for broader cannabis policy reform in Pennsylvania while navigating the complexities of state-federal relations and public perception.	article		https://beardbrospharms.com/pennsylvania-senator-looks-to-exempt-medical-marijuana-patients-from-uniform-firearms-act/	1	1714286073	
8	Nevada issues first license to a lounge in Las Vegas where cannabis can be consumed recreationally	Nevada regulators have issued the first license for a recreational cannabis consumption lounge in Las Vegas to Thrive Cannabis Marketplace's Smoke and Mirrors. Nineteen lounges await final inspections before opening. Nevada legalized recreational cannabis years ago, and in 2021, legislation paved the way for on-site consumption lounges, seen as economic boosts and tourist draws. Thrive's lounge, set to open in late February, will offer cannabis-infused cocktails and provide a platform for artists and musicians, aiming to redefine hospitality in the cannabis industry.



