id	title	event_type	description	start	end	location	url	price	organisation_id	created	last_modified	lon	lat
1	2024 Cannabis Research Conference	conferences	The 8th annual Cannabis Research Conference (CRC) will be held on August 7-9, 2024, at Colorado State University-Fort Collins.The Cannabis Research Conference (CRC) is an annual scientific meeting focused on advancing cannabis science, encompassing both hemp and marijuana. We unite leading researchers, innovators, and industry stakeholders, embracing all dimensions of diversity. We are committed to fostering an equitable and inclusive community for all those interested in cannabis research, irrespective of age, race, ethnicity, religion, gender, location, physical ability, or sexual orientation.	1723017600	1723219200	Fort Collins, CO	https://www.eventbrite.com/e/2024-cannabis-research-conference-tickets-835884953397?aff=ebdssbdestsearch			1711440903	1714920212	-105.0770113	40.5871782
2	2024 HBS Cannabis Business Conference	conferences	Join us for a scholarly discussion of the cannabis industry’s evolution with top academics, professionals and Harvard students at the Inaugural HBS Cannabis Business Conference.	1713639600	1713715200	Boston, MA	https://www.eventbrite.com.au/e/2024-hbs-cannabis-business-conference-registration-843763769147?aff=ebdssbdestsearch	From $25.00		1711440903	1714920226	-71.060511	42.3554334
3	Ohio Cannabis Session, March 30, 2024	conferences	Training Coursework:	1711792800	1711803600	Toledo, OH	https://www.eventbrite.com/e/ohio-cannabis-session-march-30-2024-tickets-808330386947?aff=ebdssbdestsearch	Free		1711440903	1714920237	-83.5378173	41.6529143
4	3rd Annual Higher Learning: Cannabis Conference [Manhattan CB10]	conferences		1713610800	1713625200	New York, NY	https://www.eventbrite.com/e/3rd-annual-higher-learning-cannabis-conference-manhattan-cb10-tickets-842710047437?aff=ebdssbdestsearch			1711440903	1714920247	-74.0060152	40.7127281
5	Accelerate Cannabis: The Mid-Atlantic Mixer	conferences	Hard Rock Hotel & Casino Atlantic City	1704299400	1704299400	Atlantic City, NJ	https://www.eventbrite.com/e/accelerate-cannabis-the-mid-atlantic-mixer-tickets-815640551847?aff=ebdssbdestsearch			1711440903	1714920258	-74.4229351	39.3642852
6	Los Angeles Cannabis Investor Conference	conferences	Thursday, August 29, 2024 - Los Angeles Cannabis Investor ConferenceThe Los Angeles Cannabis Investor Conference is a 1 - Day in person and live webinar Investor Conference.Time: 10 AM - 9 PM PDTFamecast Studios1533 26th St, Santa Monica, CA 90404Cannabis Investing Forum - 11 AM - 3 PMAlternative Investing Forum - 3 PM - 9 PMWebsite - www.cannabisinvestingforum.comWebsite - www.alternativeinvestingforum.comFree Zoom Webinar RegistrationComplimentary Tickets for Accredited InvestorsOpportunities to Participate	1724925600	1724965200	Santa Monica, CA	https://www.eventbrite.com/e/los-angeles-cannabis-investor-conference-tickets-792214253157?aff=ebdssbdestsearch			1711440903	1714920283	-118.491227	34.0194704
8	Innovation CannaTech 2024	conferences	One Day of Everything New in the Business of CannabisExperience the forefront of cannabis innovation at the “Innovation CannaTech” event on April 30th, 2024. This groundbreaking event provides a platform for individuals and companies to showcase their creative new contributions to the cannabis industry across various categories.Whether you have a revolutionary product, an optimized business process, cutting-edge equipment, unique strain, innovative software, or technology-driven marketing solution, Innovation CannaTech is the ideal space to share your advancements with the cannabis community. By participating, innovators can connect with like-minded professionals, gain exposure, and bring their new products to the marketplace.	1714471200	1714505400	Bloomfield Hills, MI	https://www.eventbrite.com/e/innovation-cannatech-2024-tickets-778308290047?aff=ebdssbdestsearch			1711440903	1714920303	-83.2454883	42.583645
9	PBC Conference 2024	conferences	Join us for our 5th annual conference in the nation's capital for 2 days of networking and learning with industry leaders, along with regulators & legislators.PBC Conference brings together the cannabis banking ecosystem, with a focus on payments, banking, & compliance.Our All Access Passes include access to keynote speeches, engaging panel sessions, exhibit room, coffee breaks, lunches, and happy hours.Topics include: Payments, Banking, Compliance, Investing, Financing & Lending, Accounting & Taxes, HR & Payroll, Insurance, Seed-to-Sale, Tech, Security, & more!	1725436800	1725553800	Washington, DC	https://www.eventbrite.com/e/pbc-conference-2024-tickets-719226966217?aff=ebdssbdestsearch			1711440903	1714920314	-77.0365427	38.8950368
12	Courier Safety Standards for the Cannabis Workforce	conferences	Courier Safety Standards for the Cannabis Workforce	1713373200	1713378600	Albuquerque, NM	https://www.eventbrite.com/e/courier-safety-standards-for-the-cannabis-workforce-tickets-838517336927?aff=ebdssbdestsearch			1711440903	1714920337	-106.650985	35.0841034
14	Canna Connect 04 Brand Expo	conferences	Canna Connect 04	1712404800	1712422800	Minneapolis, MN	https://www.eventbrite.com/e/canna-connect-04-brand-expo-tickets-779517286187?aff=ebdssbdestsearch	From $0.00		1711440903	1714920349	-93.2654692	44.9772995
