id	title	asset_type	asset_id	organisation_id	user_id	creator_id	system_score	user_score	created	opened	deleted	saved	clicked_out
1	AFC Gamma is looking to finance unburdened cannabis borrowers	content	95	1	98	143	0.31		1715376481	1715383681	1715390881		1715387281
2	Massachusetts cannabis regulator expanding secret shopper program	content	71	1	98	98	0.3		1715376481	1715383681		1715387281	
3	Institutional investor puts $50 million into cannabis operator Canopy Growth	content	14	1	98	99	0.29		1715376481	1715380081	1715383681		
4	AFC Gamma provides $34 million to Sunburn Cannabis in debt capital	content	69	1	98	144	0.28		1715376481	1715383681	1715387281		
5	Cannabis operator Canopy raising $35 million in upsized private placement	content	2	1	98	98	0.27		1715376481	1715383681	1715387281	1715380381	1715383981
6	David Gonzales | Founder of “A Cannabis Company” , #ÅCannabis Magician🐇🤠 , Specializes in verbal telekinesis	contact	290	1	98	98	0.51		1715376481	1715380081	1715383681		1715380141
7	Emanuel Zareh | Investor, Professor. Focused on venture capital and multi-asset class opportunities Talks about #startup, #founders, #fundraising, #seedfunding, and #venturecapital	contact	150	1	98	143	0.47		1715376481	1715383681			
8	Harete Enriquez | Breakthrough Therapy for People Living with Parkinson’s Disease	contact	396	1	98	143	0.45		1715376481	1715380081			
9	Jaime Cahalan | COO at Stanley Brothers USA Holdings, Inc.	contact	322	1	98	99	0.42		1715376481	1715383681	1715380261	1715387281	1715390881
10	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	1	98	99	0.42		1715376481	1715380081	1715383681	1715380261	1715380141
11	Supply Chain Challenges and Cannabis: A Global Outlook for 2022	event	1208	1	98	99	0.46		1715376481	1715380081	1715383681	1715380261	1715380141
12	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	1	98	98	0.46		1715376481	1715380081	1715380261		1715380141
13	Upwise Capital: Cannabis Business Financing on the Front Lines: Unsecured and Secured Debt Lending Options	event	1203	1	98	143	0.41		1715376481	1715380081	1715383681	1715380381	
14	Medicinal Applications of Cannabis for Cancer *In-Person Blue Ash*	event	436	1	98	143	0.34		1715376481	1715380081	1715383681	1715380261	1715380141
15	Essential Cannabis Businesses and COVID-19: Addressing Your Top Supply Chain and Retail Challenges	event	1241	1	98	98	0.33		1715376481	1715383681		1715387281	
16	AFC Gamma is looking to finance unburdened cannabis borrowers	content	95	1	99	98	0.31		1715376481	1715380081	1715383681	1715380381	1715383981
17	Massachusetts cannabis regulator expanding secret shopper program	content	71	1	99	143	0.3		1715376481	1715383681	1715380141		1715387281
18	Institutional investor puts $50 million into cannabis operator Canopy Growth	content	14	1	99	143	0.29		1715376481	1715380081		1715380261	1715380141
19	AFC Gamma provides $34 million to Sunburn Cannabis in debt capital	content	69	1	99	98	0.28		1715376481	1715383681	1715387281		
20	Cannabis operator Canopy raising $35 million in upsized private placement	content	2	1	99	98	0.27		1715376481	1715383681	1715390881	1715387281	1715380141
21	David Gonzales | Founder of “A Cannabis Company” , #ÅCannabis Magician🐇🤠 , Specializes in verbal telekinesis	contact	290	1	99	143	0.51		1715376481	1715383681	1715387281	1715380261	1715380141
22	Emanuel Zareh | Investor, Professor. Focused on venture capital and multi-asset class opportunities Talks about #startup, #founders, #fundraising, #seedfunding, and #venturecapital	contact	150	1	99	99	0.47		1715376481	1715383681	1715390881	1715380381	1715387281
23	Harete Enriquez | Breakthrough Therapy for People Living with Parkinson’s Disease	contact	396	1	99	99	0.45		1715376481	1715383681		1715387281	
24	Jaime Cahalan | COO at Stanley Brothers USA Holdings, Inc.	contact	322	1	99	143	0.42		1715376481				
25	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	1	99	99	0.42		1715376481	1715380081	1715383681	1715380381	1715383981
26	Supply Chain Challenges and Cannabis: A Global Outlook for 2022	event	1208	1	99	99	0.46		1715376481	1715383681	1715390881		1715387281
27	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	1	99	144	0.46		1715376481	1715383681	1715380141		
28	Upwise Capital: Cannabis Business Financing on the Front Lines: Unsecured and Secured Debt Lending Options	event	1203	1	99	98	0.41		1715376481	1715383681	1715387281		
29	Medicinal Applications of Cannabis for Cancer *In-Person Blue Ash*	event	436	1	99	143	0.34		1715376481	1715383681		1715387281	1715390881
30	Essential Cannabis Businesses and COVID-19: Addressing Your Top Supply Chain and Retail Challenges	event	1241	1	99	144	0.33		1715376481	1715383681		1715380261	1715387281
31	AFC Gamma is looking to finance unburdened cannabis borrowers	content	95	1	143	144	0.31		1715376481	1715383681	1715380261		1715380141
32	Massachusetts cannabis regulator expanding secret shopper program	content	71	1	143	98	0.3		1715376481	1715383681	1715390881		1715387281
33	Institutional investor puts $50 million into cannabis operator Canopy Growth	content	14	1	143	98	0.29		1715376481		1715383681		
34	AFC Gamma provides $34 million to Sunburn Cannabis in debt capital	content	69	1	143	143	0.28		1715376481	1715383681		1715380381	
